ID,experiment_1,experiment_3,experiment_1_and_3
1,0,2,2
2,1,1,2
3,2,0,2
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1,0,1
10,3,0,3
11,1,1,2
12,1,0,1
13,1,0,1
14,1,0,1
15,1,1,2
16,1,0,1
17,1,0,1
18,1,0,1
19,2,1,3
20,1,0,1
21,1,0,1
22,1,0,1
23,1,0,1
24,1,1,2
25,1,1,2
26,1,0,1
27,1,0,1
28,0,0,0
29,3,0,3
30,0,0,0
31,1,1,2
32,2,1,3
33,1,0,1
34,1,1,2
35,0,0,0
36,2,2,4
37,2,2,4
38,1,1,2
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,2,1,3
47,4,1,5
48,2,1,3
49,1,0,1
50,3,1,4
51,2,1,3
52,4,1,5
53,3,1,4
54,3,2,5
55,3,0,3
56,2,1,3
57,3,1,4
58,3,1,4
59,1,0,1
60,2,0,2
61,1,3,4
62,3,0,3
63,2,1,3
64,3,1,4
65,3,1,4
66,4,3,7
67,4,1,5
68,0,0,0
69,5,1,6
70,3,0,3
71,2,0,2
72,3,1,4
73,3,1,4
74,4,0,4
75,3,1,4
76,3,0,3
77,3,1,4
78,2,0,2
79,3,1,4
80,3,0,3
81,4,0,4
82,3,1,4
83,3,2,5
84,3,1,4
85,2,1,3
86,1,1,2
87,3,0,3
88,3,0,3
89,5,2,7
90,2,0,2
91,3,0,3
92,4,2,6
93,5,2,7
94,1,1,2
95,6,1,7
96,3,2,5
97,5,4,9
98,4,2,6
99,2,0,2
100,3,2,5
101,5,4,9
102,5,0,5
103,2,2,4
104,5,1,6
105,3,0,3
106,3,1,4
107,2,1,3
108,3,1,4
109,2,1,3
110,2,0,2
111,3,0,3
112,4,1,5
113,3,0,3
114,1,1,2
115,4,0,4
116,6,0,6
117,3,1,4
118,2,2,4
119,3,1,4
120,4,1,5
121,2,1,3
122,3,2,5
123,2,1,3
124,3,1,4
125,1,4,5
126,3,1,4
127,3,1,4
128,4,1,5
129,1,2,3
130,1,1,2
131,5,2,7
132,1,1,2
133,3,3,6
134,2,1,3
135,4,2,6
136,1,1,2
137,4,1,5
138,2,3,5
139,5,2,7
140,1,1,2
141,2,2,4
142,2,1,3
143,3,1,4
144,0,0,0
145,0,0,0
